LandType,Price,Neighborhood,Building,Address,Sold Price,Sold Date,Beds,Bath,Living Sq Ft,Parking,Lanai,Pets,Floor,Year,List Date,Days,Condition,Tax,Maint. Fee,Elementary,Junior High,High,Flood Zone,View,Frontage,Flooring
FS,"$699,000 ",Mariners Valley,Mariners Village 3,1126 Wainiha Street A,"$712,000 ",7/11/2019,4,2.1,"1,549",2,120,Yes,1,1972,4/1/2019,11,Excellent,$163 ,$456 ,Kamiloiki,Niu Valley,Kaiser,Zone D,"Mountain,Sunrise",Other,"Laminate,W/W Carpet"
FS,"$769,000 ",West Marina,Kalele Kai,1 Keahole Place 1412,"$760,000 ",7/11/2019,2,2,"1,424",2,263,Yes,4,1993,6/6/2019,6,"Above Average,Excellent",$177 ,$864 ,,,,Zone AE,"Marina/Canal,Mountain,Sunrise",Marina,"Ceramic Tile,Hardwood"
FS,"$569,900 ",Hahaione-lower,Mauna Luan,511 Hahaione Street 1/19C,"$569,900 ",7/5/2019,2,2,"1,303",2,0,No,19,1975,3/13/2019,65,Excellent,$167 ,$815 ,Hahaione,Niu Valley,Kaiser,Zone D,"Coastline,Garden,Marina/Canal,Mountain,Ocean,Sunset",,"Ceramic Tile,Laminate,Other,W/W Carpet"
FS,"$705,000 ",West Marina,Colony At The Penins,520 Lunalilo Home Road 8426,"$690,000 ",7/5/2019,2,2,"1,287",2,109,Yes,4,2004,2/18/2019,98,Excellent,$164 ,$800 ,Koko Head,Niu Valley,Kaiser,Zone AE,"Marina/Canal,Mountain",Other,"Ceramic Tile,Vinyl,W/W Carpet"
FS,"$895,000 ",West Marina,Colony Marina,6218 Keokea Place C101,"$860,000 ",7/5/2019,4,3,"1,914",2,0,Yes,2,1969,3/27/2019,67,Average,$256 ,$740 ,Hahaione,Niu Valley,Kaiser,Zone AE,"Marina/Canal,Mountain","Marina,Waterfront","Ceramic Tile,Hardwood,Laminate,W/W Carpet"
FS,"$1,135,000 ",West Marina,Koko Isle,911 Koko Isle Circle 911,"$1,135,000 ",7/3/2019,3,2.1,"1,539",2,0,Yes,1,1968,3/11/2019,94,"Above Average,Excellent",$237 ,$747 ,,,,Zone AE,"Marina/Canal,Mountain",Marina,"Other,Vinyl"
FS,"$848,800 ",West Marina,Moana Kai,,"$850,000 ",7/1/2019,3,2.1,"1,550",2,0,Yes,2,2005,4/28/2019,18,Excellent,$0 ,$428 ,Hahaione,Niu Valley,Kaiser,Zone D,None,Other,"Ceramic Tile,W/W Carpet"
LH,"$485,000 ",West Marina,Mawaena Kai 1-2-3,7007 Hawaii Kai Drive A16,"$485,000 ",6/28/2019,3,2,"1,296",3,0,Yes,1,1988,4/30/2019,13,Average,$238 ,$650 ,,,,Zone AE,"Marina/Canal,Mountain","Marina,Waterfront","Ceramic Tile,Hardwood"
FS,"$519,900 ",Hahaione-lower,Mariners Village 2,575 Hahaione Street D103,"$517,500 ",6/28/2019,2,2,"1,095",2,210,Yes,1,1972,4/29/2019,21,Above Average,$144 ,$789 ,Hahaione,Niu Valley,Kaiser,Zone D,None,,"Ceramic Tile,Laminate"
FS,"$655,000 ",West Marina,Kawaihae Crescent We,370 Kawaihae Street 370G,"$640,000 ",6/28/2019,3,2.1,"1,530",2,0,Yes,2,1973,4/20/2019,22,Average,$173 ,$600 ,Hahaione,Niu Valley,Kaiser,Zone D,None,,"Ceramic Tile,W/W Carpet"
FS,"$599,000 ",Hahaione-lower,Mauna Luan,511 Hahaione Street 1/16D,"$567,000 ",6/27/2019,2,2,"1,303",2,0,No,16,1975,4/17/2019,13,Above Average,$182 ,$815 ,Hahaione,Niu Valley,Kaiser,Zone D,"Coastline,Marina/Canal,Mountain,Ocean",Other,"Ceramic Tile,W/W Carpet"
FS,"$749,000 ",West Marina,Gateway Peninsula,211 Kawaihae Street D4,"$735,000 ",6/25/2019,3,2.1,"1,752",2,160,Yes,1,1972,2/6/2019,85,Above Average,$207 ,"$1,025 ",Hahaione,Niu Valley,Kaiser,Zone AE,"Marina/Canal,Mountain",Marina,"Laminate,W/W Carpet"
FS,"$839,000 ",West Marina,Koko Isle,710 Koko Isle Circle 2104,"$835,900 ",6/25/2019,3,2,"1,398",2,"1,200",Yes,1,1968,2/27/2019,50,Above Average,$213 ,$747 ,Koko Head,Niu Valley,Kaiser,Zone AE,"Garden,Mountain",Other,"Ceramic Tile,Laminate"
FS,"$555,000 ",Hahaione-lower,Commodore,555 Hahaione Street 10H,"$540,000 ",6/24/2019,2,2,"1,490",2,77,Yes,10,1982,4/26/2019,19,Average,$125 ,"$1,354 ",Hahaione,Niu Valley,Kaiser,Zone D,"City,Garden,Marina/Canal,Mountain,Ocean",,"Ceramic Tile,W/W Carpet"
FS,"$599,000 ",West Marina,Lalea At Hawaii Kai ,7168 Hawaii Kai Drive 169,"$605,000 ",6/24/2019,2,1,850,2,0,Yes,1,1998,4/5/2019,38,Above Average,$154 ,$334 ,,,,Zone D,Mountain,Other,"Ceramic Tile,W/W Carpet"
FS,"$729,000 ",West Marina,Lalea At Hawaii Kai ,7130 Hawaii Kai Drive 119,"$739,000 ",6/24/2019,3,2.1,"1,075",2,250,No,2,1997,4/10/2019,30,Excellent,$208 ,$422 ,Hahaione,Niu Valley,Kaiser,Zone D,"Garden,Mountain",,"Other,W/W Carpet"
FS,"$780,000 ",West Marina,Hawaii Kai Cp Lot 8 ,475 Kawaihae Street A,"$780,000 ",6/24/2019,3,2,"1,350",4,306,No,0,1963,10/1/2018,21,Above Average,$189 ,$0 ,Hahaione,,Kaiser,Zone AE,"Marina/Canal,Mountain","Marina,Stream/Canal,Waterfront","Ceramic Tile,W/W Carpet"
FS,"$749,000 ",West Marina,Kalele Kai,001 Keahole Place 1312,"$749,000 ",6/21/2019,2,2,"1,424",2,263,Yes,3,1993,4/18/2019,17,Average,$232 ,$864 ,,,,Zone AE,Garden,Marina,Marble/Granite
FS,"$895,000 ",West Marina,Peninsula At Hawaii ,580 Lunalilo Home Road 339,"$876,500 ",6/21/2019,3,2.1,"1,648",2,0,Yes,2,2005,3/7/2019,82,Excellent,$239 ,$596 ,Koko Head,Niu Valley,Kaiser,Zone AE,"Marina/Canal,Mountain",Other,"Ceramic Tile,Hardwood,W/W Carpet"
FS,"$998,000 ",West Marina,Kuapa Isle,443 Opihikao Place 171,"$940,000 ",6/20/2019,3,3,"1,557",2,380,Yes,1,1970,1/9/2019,132,Excellent,$56 ,$665 ,,,,Zone AE,"Marina/Canal,Sunrise","Marina,Waterfront","Ceramic Tile,Laminate,W/W Carpet"
